No,Level,Word,Pronunciation,Meaning,Example,NaverPron,PDFPage
1,A1,a,"pronunciation: | IPA'A', 'a': /eɪ/ | USA","[관(부정)](indefinite article) (부정관사)하나의, 어떤 | [명](one: before a number) (숫자)일, 1 | [전](quantity: approximately) (수량)대략, 약, 대강 | [전](time: close to, more or less) (시간: 대략적으로)~경, ~쯤 | [전](on the subject of)~에 관한, ~에 대한 | [전](of, concerning)~에 대하여, ~에 관하여",He must have a thousand books. I've just won a million | pounds! | I like a challenge. | There were about fifteen people in our tour group. | I heard a crash at about ten o'clock last night. | I went to the library to look for a book about insects. | What do you think about the president's speech?,네이버발음,4
2,A1,about,pronunciation: | IPA/əˈbaʊt/ | USA,"[부]mainly UK (all around) (주로 영)여기저기, 사방팔방, 이곳 | 저곳 | [부]mainly UK (from one spot to another) (주로 영)이리저리 | [동]be about [sth/sb] (be about [sth/sb])~에 대한 것이다 | [동]be about to do [sth] (be about to do [sth])~하려던 참이다 | [전](over)위에 | [전](rank: superior to) (계급)높은, 상급인 | [전](quantity: greater than) (양, 수치)~이상 | [부](in higher place)위에서","She was sitting at her desk, books lying all about. | My presentation is about the effects of alcohol. This book is | about a king who loses his crown. | He was dancing about, waving his lottery ticket in the air. | I was just about to step into the bath when the doorbell rang. | She hung a picture above the fireplace. | A general ranks above a colonel. | The temperature in Rio de Janeiro goes above 40 degrees in | the summer. | I keep non-fiction on the bottom shelf, and fiction on the one | above.",네이버발음,4
3,A1,above,pronunciation: | IPA/əˈbʌv/ | USA | pronunciation:,"[부](rank: superior) (계급)상위의, 상급의 | [부](quantity: greater) (양, 수치)이상의, 높은 | [부](earlier in a text) (글)앞에서 | [형](place: higher)보다 높은, 위쪽의 | [형](aforementioned)언급된, 앞에서 언급된 | [전](from one side to the other)가로질러 | [전](opposite)맞은편에 | [전](so as to cross or intersect)가로질러",This measure affects middle managers and above. | This product should not be used at temperatures of thirty | degrees and above. | This event is described in more detail above. | Water was leaking from the floor above. | The above examples demonstrate how common the problem | is. | There is a shortcut across the fields. | The bridge across the river is a great place to watch the | sunset. | Audrey stood on the pavement looking at the post office | across the street.,네이버발음,4
4,A1,across,"IPA/əˈkrɔs, əˈkr | ɑs/ | USA","[전](throughout)전반적으로 | [부](in width) (폭)가로질러서 | [부](in crosswords) (십자말풀이)가로 말의, 가로 문제의 | [명](movement, work, activity)행동 | [명](political measures)움직임, 조치 | [명](plot)줄거리","Lay the boards across the bricks, like this. | The genetic mutation is found across several populations. | This song is popular across Europe. | The swimming pool was 10 meters across. | I can't find the answer to nine across. | He got off his chair and jumped into action. | Action to tackle racism is very important. | The action in the novel is spread over two decades. | The sales floor is incredibly busy today - there is a lot of",네이버발음,4
5,A1,action,pronunciation: | IPA/ˈækʃən/ | USA,"[명](frenetic activity)움직임, 동작 | [명](law)소송 | [동(타)]action [sth] (request: deal with, act upon)~을 처리하다 | [명]countable (action) (가산 명사)활동 | [명]uncountable (liveliness, energy) (불가산 명사)활기, 활력",action. | The lawyers' action against the company caused it to go | bankrupt. | Your request will be actioned within 48 hours. | The company's illegal activities got it in trouble with the | police. | The activity on the playground reflected the children's happy | spirits.,네이버발음,4
6,A1,activity,pronunciation: | IPA/ækˈtɪvɪti/ | USA,"[명](occupation)업무 | [명]countable (children's, school)활동 | [명]uncountable (work)작업 | [명](performer)배우, 연기자","The principal activity of a book reviewer is reading. | The pre-school had many activities to keep the kids occupied. | The activity on the shop floor appears disorganized, but the | workers are building automobiles efficiently. | Morgan Freeman is my favourite actor and I've seen all of his",네이버발음,4
7,A1,actor,pronunciation: | IPA/ˈæktɚ/ | USA,"[명](participant, agent)관계자",films. // I think Frances McDormand is a great actor. | Who are the main actors in the new construction deal?,네이버발음,4
8,A1,actress,pronunciation: | IPA/ˈæktrɪs/,[명](female actor)여배우 | Which actress won this year for best supporting role?,,네이버발음,4
9,A1,add,pronunciation: | IPA/æd/ | USA | pronunciation:,"[동(자)]add to [sth] (supplement)~을 첨가하다, ~을 더하다 | [동(타)]add [sth] to [sth] (contribute, enhance)~에 ~을 향상시 | 키다 | [동(자)]add to [sth] (increase)~을 증가시키다 | [명](house, premises: location)장소, 사는 곳 | [명](destination on mail) (봉투, 택배 등)주소, 겉봉 | [동(타)]address [sb], address [sb] as [sth] (use a title) (호칭)~ | 을 지칭하다, 부르다 | [동(타)]address [sb] (give a speech)~을 연설하다, ~을 설교하 | 다","Herbs will add to the flavour of the soup. | Seasoning adds flavour to food. | The knowledge of how he died only added to his family's | suffering. | The business had moved to a new address. | The letter was returned, as the address was unreadable. | ""Your Holiness"" is the correct way to address the Pope. | The President will address the nation on Tuesday. | We need to address the problem of absenteeism.",네이버발음,5
10,A1,address,"IPA/n. əˈdrɛs, ˈ | ædrɛs; v. | əˈdrɛs/ | USA | pronunciation:","[동(타)]address [sth] (give attention to [sth])~에 관심을 갖다 | [동(타)]address [sth] (write destination on mail) (편지)~에 주 | 소를 쓰다 | [동(타)]address [sth] to [sb] (indicate mail is intended for [sb]) | (우편)~에게 ~을 보내다 | [동(타)]address [sth] to [sb] (remark: say to [sb])~에게 ~을 말 | 하다 | [명](person: fully grown) (완전히 성장한 사람)성인, 어른 | [형](animal, etc. fully grown) (동물, 곤충, 등)성장한",You must address the package correctly if you expect it to be | delivered. | Joyce addressed the letter to her sister. | O'Neill addressed his remarks to the business owners in the | audience. | Teenagers are anxious to be adults. | An immature deer has much smaller antlers than an adult | deer. | Children who want to swim in this pool must have adult,네이버발음,5
